,Id,LotFrontage,LotArea,MasVnrArea,1stFlrSF,2ndFlrSF,GrLivArea,GarageArea,SalePrice,GarageType_1,GarageType_2,GarageType_3,GarageType_4,GarageType_5
491,492,79.0,9490,0.0,958,620,1578,240,133000,1,0,0,0,0
492,493,105.0,15578,0.0,728,728,1456,429,172785,1,0,0,0,0
493,494,70.0,7931,0.0,1269,0,1269,308,155000,0,0,0,0,1
494,495,50.0,5784,0.0,886,0,886,273,91300,1,0,0,0,0
495,496,60.0,7879,0.0,720,0,720,0,34900,1,0,0,0,0
497,498,60.0,9120,0.0,1133,687,1820,240,184000,0,0,0,0,1
498,499,65.0,7800,89.0,899,0,899,288,130000,1,0,0,0,0
499,500,70.0,7535,0.0,912,0,912,297,120000,1,0,0,0,0
501,502,75.0,9803,0.0,866,902,1768,603,226700,1,0,0,0,0
502,503,70.0,9170,0.0,1214,0,1214,461,140000,0,0,0,0,1
503,504,100.0,15602,0.0,1801,0,1801,484,289000,1,0,0,0,0
505,506,60.0,7596,360.0,960,1000,1960,400,124500,0,0,0,0,1
506,507,80.0,9554,125.0,1065,846,1911,471,215000,1,0,0,0,0
507,508,75.0,7862,0.0,1218,0,1218,676,208300,1,0,0,0,0
508,509,60.0,9600,0.0,689,689,1378,360,161000,0,0,0,0,1
509,510,80.0,9600,132.0,1041,0,1041,270,124500,1,0,0,0,0
510,511,75.0,14559,70.0,1363,0,1363,288,164900,0,0,0,1,0
511,512,40.0,6792,94.0,1368,0,1368,474,202665,1,0,0,0,0
512,513,70.0,9100,0.0,864,0,864,624,129900,0,0,0,0,1
513,514,71.0,9187,0.0,1080,0,1080,484,134000,1,0,0,0,0
514,515,55.0,10594,0.0,789,0,789,200,96500,0,0,0,0,1
515,516,94.0,12220,305.0,2020,0,2020,900,402861,1,0,0,0,0
519,520,53.0,10918,0.0,1276,804,2080,282,234000,0,0,0,0,1
520,521,60.0,10800,0.0,694,600,1294,0,106250,1,0,0,0,0
521,522,90.0,11988,0.0,1244,0,1244,336,150000,1,0,0,0,0
522,523,50.0,5000,0.0,1004,660,1664,420,159000,0,0,0,0,1
525,526,62.0,7500,0.0,1266,0,1266,453,176000,1,0,0,0,0
526,527,70.0,13300,0.0,928,0,928,252,132000,1,0,0,0,0
528,529,58.0,9098,0.0,605,0,605,0,86000,1,0,0,0,0
530,531,85.0,10200,219.0,1509,0,1509,600,175000,1,0,0,0,0
531,532,60.0,6155,0.0,751,611,1362,502,128000,0,0,0,0,1
532,533,60.0,7200,0.0,827,0,827,392,107500,0,0,0,0,1
533,534,50.0,5000,0.0,334,0,334,0,39300,1,0,0,0,0
534,535,74.0,9056,0.0,707,707,1414,403,178000,1,0,0,0,0
535,536,70.0,7000,0.0,820,527,1347,0,107500,1,0,0,0,0
536,537,57.0,8924,0.0,880,844,1724,527,188000,1,0,0,0,0
542,543,78.0,10140,0.0,1680,0,1680,583,213250,1,0,0,0,0
543,544,34.0,4058,182.0,767,0,767,367,133000,1,0,0,0,0
546,547,70.0,8737,0.0,915,720,1635,440,210000,0,0,0,0,1
547,548,54.0,7244,0.0,768,0,768,624,129500,0,0,0,0,1
548,549,49.0,8235,0.0,825,0,825,720,125000,0,0,0,0,1
549,550,75.0,9375,0.0,912,1182,2094,615,263000,0,0,1,0,0
550,551,53.0,4043,0.0,1069,0,1069,440,140000,1,0,0,0,0
551,552,50.0,6000,0.0,928,0,928,288,112500,1,0,0,0,0
552,553,87.0,11146,250.0,1717,0,1717,908,255500,1,0,0,0,0
553,554,67.0,8777,0.0,1126,0,1126,520,108000,0,0,0,0,1
554,555,85.0,10625,292.0,1006,1040,2046,871,284000,0,0,1,0,0
555,556,58.0,6380,0.0,1048,0,1048,280,113000,0,0,0,0,1
556,557,69.0,14850,0.0,1092,0,1092,299,141000,1,0,0,0,0
557,558,60.0,11040,0.0,897,439,1336,570,108000,0,0,0,1,0
561,562,77.0,10010,0.0,1389,0,1389,418,170000,1,0,0,0,0
562,563,63.0,13907,0.0,996,0,996,0,108000,1,0,0,0,0
565,566,66.0,6858,0.0,841,806,1647,216,128000,0,0,0,0,1
566,567,77.0,11198,245.0,1134,1370,2504,656,325000,0,0,1,0,0
567,568,70.0,10171,168.0,1535,0,1535,532,214000,1,0,0,0,0
568,569,79.0,12327,0.0,1496,636,2132,612,316600,0,0,1,0,0
570,571,74.0,13101,108.0,1728,0,1728,576,142600,0,0,0,0,1
571,572,60.0,7332,207.0,864,0,864,288,120000,1,0,0,0,0
572,573,83.0,13159,0.0,846,846,1692,650,224500,1,0,0,0,0
573,574,76.0,9967,0.0,774,656,1430,400,170000,0,0,1,0,0
574,575,70.0,10500,82.0,576,533,1109,288,139000,0,0,1,0,0
575,576,80.0,8480,0.0,832,384,1216,336,118500,0,0,0,0,1
576,577,52.0,6292,0.0,877,600,1477,216,145000,0,0,0,0,1
577,578,96.0,11777,97.0,1320,0,1320,564,164500,1,0,0,0,0
578,579,34.0,3604,0.0,703,689,1392,540,146000,0,0,0,0,1
579,580,81.0,12150,335.0,1050,745,1795,352,131500,1,0,0,0,0
582,583,81.0,11841,104.0,816,0,816,0,118500,1,0,0,0,0
584,585,51.0,6120,0.0,989,584,1573,240,133000,0,0,0,0,1
586,587,55.0,10267,0.0,838,0,838,275,130000,0,0,0,0,1
587,588,74.0,8740,0.0,860,0,860,528,137000,0,0,0,0,1
589,590,50.0,9100,0.0,779,0,935,308,79500,0,0,0,0,1
590,591,64.0,8320,0.0,770,812,1582,520,185900,1,0,0,0,0
592,593,60.0,6600,0.0,816,0,816,816,138000,0,0,0,0,1
594,595,88.0,7990,0.0,924,0,924,280,110000,0,0,0,0,1
595,596,69.0,11302,238.0,1826,0,1826,758,319000,1,0,0,0,0
596,597,60.0,3600,0.0,684,684,1368,216,114504,0,0,0,0,1
597,598,53.0,3922,72.0,1402,0,1402,648,194201,1,0,0,0,0
600,601,74.0,10927,280.0,1058,846,1904,736,275000,0,0,1,0,0
601,602,50.0,9000,0.0,780,595,1375,544,141000,0,0,0,0,1
602,603,80.0,10041,0.0,927,988,1915,506,220000,1,0,0,0,0
603,604,30.0,3182,0.0,600,600,1200,480,151000,0,0,0,0,1
604,605,88.0,12803,99.0,1494,0,1494,530,221000,1,0,0,0,0
605,606,85.0,13600,176.0,1186,800,1986,486,205000,1,0,0,0,0
606,607,82.0,12464,0.0,1040,0,1040,576,152000,0,0,0,0,1
607,608,78.0,7800,0.0,1112,896,2008,230,225000,1,0,0,0,0
609,610,61.0,7943,192.0,1029,0,1029,261,118500,1,0,0,0,0
613,614,70.0,8402,0.0,1120,0,1120,0,147000,1,0,0,0,0
615,616,80.0,8800,156.0,1054,0,1054,480,137500,1,0,0,0,0
617,618,59.0,7227,0.0,832,0,832,528,105500,0,0,0,0,1
619,620,85.0,12244,226.0,1482,780,2262,749,305000,1,0,0,0,0
620,621,45.0,8248,0.0,864,0,864,0,67000,1,0,0,0,0
622,623,71.0,7064,153.0,980,0,980,484,135000,0,0,0,0,1
624,625,80.0,10400,288.0,1012,778,1790,484,165150,1,0,0,0,0
625,626,87.0,10000,261.0,1116,0,1116,440,160000,1,0,0,0,0
627,628,80.0,9600,164.0,1520,0,1520,364,153000,0,1,0,0,0
628,629,70.0,11606,192.0,1040,1040,2080,504,135000,1,0,0,0,0
629,630,82.0,9020,259.0,1350,0,1350,520,168500,1,0,0,0,0
630,631,50.0,9000,0.0,1089,661,1750,240,124000,0,0,0,0,1
631,632,34.0,4590,108.0,1554,0,1554,627,209500,1,0,0,0,0
632,633,85.0,11900,209.0,1411,0,1411,544,82500,1,0,0,0,0
633,634,80.0,9250,0.0,1056,0,1056,260,139400,1,0,0,0,0
634,635,64.0,6979,0.0,1056,0,1056,576,144000,0,0,0,0,1
636,637,51.0,6120,0.0,800,0,800,0,60000,1,0,0,0,0
637,638,50.0,6000,0.0,811,576,1387,256,93000,0,0,1,0,0
638,639,67.0,8777,0.0,796,0,796,0,85000,1,0,0,0,0
639,640,53.0,3982,0.0,1567,0,1567,648,264561,1,0,0,0,0
643,644,80.0,10793,263.0,780,840,1620,462,152000,1,0,0,0,0
644,645,85.0,9187,162.0,1766,0,1766,478,370878,1,0,0,0,0
646,647,60.0,7200,0.0,1048,0,1048,420,98300,0,0,0,0,1
647,648,85.0,10452,216.0,1094,0,1094,495,155000,1,0,0,0,0
648,649,70.0,7700,351.0,1051,788,1839,442,155000,1,0,0,0,0
651,652,60.0,9084,0.0,755,755,1510,296,108000,0,0,0,0,1
652,653,70.0,8750,0.0,909,807,1716,512,191000,1,0,0,0,0
653,654,60.0,10320,0.0,756,713,1469,216,135000,0,0,0,0,1
656,657,72.0,10007,54.0,1053,0,1053,312,145500,1,0,0,0,0
657,658,60.0,7200,0.0,851,651,1502,270,149000,1,0,0,0,0
659,660,75.0,9937,0.0,1486,0,1486,480,167000,0,0,0,0,1
663,664,90.0,10012,0.0,1181,0,1181,588,137500,0,0,0,0,1
665,666,106.0,11194,40.0,1454,482,1936,504,230500,1,0,0,0,0
667,668,65.0,8125,258.0,1679,0,1679,575,193500,1,0,0,0,0
669,670,80.0,11600,0.0,1180,0,1180,252,137500,0,0,0,0,1
670,671,64.0,8633,0.0,738,738,1476,540,173500,1,0,0,0,0
671,672,54.0,6629,0.0,697,672,1369,300,103600,0,0,0,0,1
673,674,110.0,14442,106.0,1839,0,1839,416,257500,1,0,0,0,0
674,675,80.0,9200,0.0,1136,0,1136,384,140000,1,0,0,0,0
676,677,60.0,9600,0.0,1095,679,1774,779,87000,0,0,0,0,0
677,678,52.0,9022,0.0,792,0,792,240,109500,0,0,0,0,1
680,681,50.0,8012,0.0,923,0,923,264,143000,1,0,0,0,0
681,682,55.0,4500,0.0,848,672,1520,281,159434,0,0,0,0,1
683,684,90.0,11248,215.0,1668,0,1668,702,285000,1,0,0,0,0
686,687,84.0,10207,0.0,874,887,1761,578,227875,1,0,0,0,0
688,689,60.0,8089,0.0,1419,0,1419,567,392000,1,0,0,0,0
689,690,61.0,7577,256.0,1362,0,1362,460,194700,1,0,0,0,0
693,694,60.0,5400,0.0,1073,0,1073,326,108480,0,0,0,0,1
694,695,51.0,6120,0.0,1067,472,1539,576,141500,0,0,0,0,1
695,696,54.0,13811,72.0,1137,0,1137,551,176000,1,0,0,0,0
696,697,50.0,6000,0.0,616,0,616,205,89000,0,0,0,0,1
697,698,57.0,6420,0.0,1148,0,1148,308,123500,0,0,0,0,1
698,699,65.0,8450,0.0,894,0,894,336,138500,0,0,0,0,1
699,700,59.0,4282,0.0,1391,0,1391,530,196000,1,0,0,0,0
701,702,80.0,9600,168.0,1164,0,1164,528,140000,1,0,0,0,0
703,704,76.0,7630,0.0,1032,780,1812,672,140000,0,0,0,0,1
704,705,70.0,8400,109.0,1484,0,1484,606,213000,1,0,0,0,0
705,706,70.0,5600,0.0,372,720,1092,0,55000,1,0,0,0,0
707,708,48.0,6240,176.0,1324,0,1324,550,254000,1,0,0,0,0
708,709,65.0,9018,0.0,728,728,1456,400,179540,1,0,0,0,0
710,711,56.0,4130,0.0,729,0,729,0,52000,1,0,0,0,0
711,712,66.0,8712,0.0,859,319,1178,384,102776,0,0,0,0,1
712,713,40.0,4671,0.0,1228,0,1228,472,189000,1,0,0,0,0
713,714,60.0,9873,160.0,960,0,960,576,129000,0,0,0,0,1
715,716,78.0,10140,174.0,1350,0,1350,478,165000,1,0,0,0,0
716,717,60.0,10800,0.0,1576,978,2554,704,159500,0,0,0,0,1
717,718,80.0,10000,0.0,1178,0,1178,439,157000,1,0,0,0,0
719,720,69.0,9920,0.0,971,0,971,300,128500,1,0,0,0,0
722,723,70.0,8120,0.0,864,0,864,463,124500,0,0,0,0,1
723,724,60.0,8172,0.0,997,473,1470,548,135000,0,0,0,0,1
724,725,86.0,13286,340.0,1698,0,1698,768,320000,1,0,0,0,0
725,726,60.0,6960,0.0,864,0,864,660,120500,0,0,0,0,1
727,728,64.0,7314,82.0,1232,0,1232,632,194500,1,0,0,0,0
728,729,85.0,11475,95.0,1776,0,1776,888,110000,0,0,0,0,1
729,730,52.0,6240,0.0,848,0,1208,539,103000,0,0,0,0,1
730,731,39.0,5389,0.0,1616,0,1616,608,236500,1,0,0,0,0
732,733,75.0,11404,202.0,1153,878,2031,541,222500,1,0,0,0,0
733,734,80.0,10000,0.0,1144,0,1144,264,131400,1,0,0,0,0
735,736,60.0,10800,0.0,880,888,1768,320,163000,0,0,0,0,1
736,737,60.0,8544,0.0,1040,0,1040,400,93500,0,0,0,0,1
737,738,72.0,10463,0.0,901,900,1801,800,239900,1,0,0,0,0
738,739,60.0,10800,0.0,1200,0,1200,0,179000,1,0,0,0,0
739,740,65.0,9313,0.0,864,864,1728,572,190000,1,0,0,0,0
740,741,60.0,9600,0.0,768,664,1432,360,132000,0,0,0,0,1
741,742,65.0,6768,0.0,912,0,912,288,142000,0,0,0,0,1
742,743,65.0,8450,108.0,1349,0,1349,539,179000,1,0,0,0,0
743,744,70.0,12886,0.0,1464,0,1464,480,175000,1,0,0,0,0
744,745,41.0,5395,0.0,1337,0,1337,462,180000,1,0,0,0,0
748,749,59.0,10593,338.0,1720,0,1720,527,260400,1,0,0,0,0
749,750,50.0,8405,0.0,1088,441,1529,240,98000,0,0,0,0,1
750,751,55.0,8800,0.0,792,348,1140,0,96500,1,0,0,0,0
752,753,79.0,9236,0.0,1494,0,1494,576,217000,1,0,0,0,0
753,754,80.0,10240,178.0,1038,1060,2098,878,275500,1,0,0,0,0
754,755,61.0,7930,0.0,1026,0,1026,440,156000,0,0,0,0,1
756,757,68.0,10769,0.0,866,902,1768,578,212000,1,0,0,0,0
760,761,70.0,9100,0.0,864,0,864,300,127500,0,0,0,0,1
761,762,60.0,6911,0.0,1301,0,1301,440,100000,0,0,0,0,1
762,763,72.0,8640,0.0,764,783,1547,614,215200,1,0,0,0,0
764,765,30.0,9549,0.0,1494,0,1494,481,270000,1,0,0,0,0
765,766,75.0,14587,284.0,1506,0,1506,592,264132,1,0,0,0,0
766,767,80.0,10421,42.0,980,734,1714,496,196500,1,0,0,0,0
767,768,75.0,12508,0.0,983,767,1750,423,160000,1,0,0,0,0
768,769,70.0,9100,0.0,1836,0,1836,484,216837,1,0,0,0,0
771,772,67.0,8877,0.0,1220,0,1220,396,102000,0,0,0,0,1
772,773,94.0,7819,0.0,1117,0,1117,672,107000,0,0,0,0,1
773,774,70.0,10150,1.0,912,0,912,275,114500,1,0,0,0,0
774,775,110.0,14226,375.0,1973,0,1973,895,395000,1,0,0,0,0
775,776,32.0,4500,320.0,1204,0,1204,412,162000,1,0,0,0,0
776,777,86.0,11210,240.0,1614,0,1614,865,221500,1,0,0,0,0
777,778,100.0,13350,0.0,894,0,894,440,142500,1,0,0,0,0
778,779,60.0,8400,320.0,2020,0,2020,630,144000,0,0,0,0,1
779,780,78.0,10530,90.0,1004,0,1004,504,135000,1,0,0,0,0
780,781,63.0,7875,38.0,1253,0,1253,402,176000,1,0,0,0,0
781,782,65.0,7153,0.0,810,793,1603,484,175900,1,0,0,0,0
782,783,67.0,16285,0.0,1430,0,1430,605,187100,1,0,0,0,0
784,785,35.0,6300,0.0,742,742,1484,0,128000,1,0,0,0,0
786,787,60.0,10800,0.0,966,686,1652,416,139000,0,0,0,0,1
787,788,76.0,10142,0.0,956,1128,2084,618,233000,0,0,1,0,0
788,789,50.0,6000,0.0,901,0,901,281,107900,0,0,0,0,1
790,791,43.0,3182,11.0,1145,0,1145,397,160200,1,0,0,0,0
792,793,92.0,9920,0.0,1127,886,2013,455,269790,1,0,0,0,0
793,794,76.0,9158,140.0,1496,0,1496,474,225000,1,0,0,0,0
795,796,70.0,8400,130.0,888,676,1564,476,171000,1,0,0,0,0
796,797,71.0,8197,148.0,1285,0,1285,528,143500,1,0,0,0,0
797,798,57.0,7677,0.0,773,0,773,240,110000,1,0,0,0,0
799,800,60.0,7200,252.0,981,787,1768,240,175000,0,0,0,0,1
800,801,79.0,12798,0.0,616,1072,1688,603,200000,1,0,0,0,0
801,802,40.0,4800,0.0,1196,0,1196,440,109900,0,0,0,0,1
802,803,63.0,8199,0.0,728,728,1456,410,189000,1,0,0,0,0
804,805,75.0,9000,0.0,1128,0,1128,286,118000,1,0,0,0,0
805,806,91.0,12274,256.0,1428,0,1428,554,227680,1,0,0,0,0
806,807,75.0,9750,0.0,980,0,980,384,135500,1,0,0,0,0
809,810,90.0,8100,0.0,1075,1063,2138,360,106000,0,0,0,0,1
810,811,78.0,10140,99.0,1309,0,1309,484,181000,1,0,0,0,0
812,813,66.0,8712,0.0,1044,0,1044,504,55993,0,1,0,0,0
813,814,75.0,9750,243.0,1442,0,1442,301,157900,1,0,0,0,0
814,815,45.0,8248,0.0,686,564,1250,280,116000,0,0,0,0,1
818,819,80.0,8816,80.0,1052,0,1052,440,155000,1,0,0,0,0
819,820,44.0,6371,128.0,1358,0,1358,484,224000,1,0,0,0,0
820,821,72.0,7226,0.0,798,842,1640,595,183000,1,0,0,0,0
821,822,60.0,6000,0.0,936,0,936,576,93000,0,0,0,0,1
823,824,60.0,9900,0.0,944,545,1489,240,139500,0,0,0,0,1
824,825,81.0,11216,0.0,1489,0,1489,776,232600,1,0,0,0,0
826,827,50.0,6130,0.0,784,0,784,0,109500,1,0,0,0,0
827,828,65.0,8529,0.0,1434,0,1434,527,189000,1,0,0,0,0
830,831,80.0,11900,387.0,1392,0,1392,458,166000,1,0,0,0,0
831,832,30.0,3180,0.0,520,600,1200,480,151000,0,0,0,0,1
832,833,44.0,9548,223.0,941,888,1829,613,237000,1,0,0,0,0
833,834,100.0,10004,180.0,1516,0,1516,472,167000,1,0,0,0,0
834,835,75.0,7875,136.0,1144,0,1144,456,139950,1,0,0,0,0
835,836,60.0,9600,0.0,1067,0,1067,436,128000,1,0,0,0,0
836,837,90.0,8100,0.0,1559,0,1559,812,153500,0,0,0,0,1
838,839,75.0,9525,0.0,1099,0,1099,352,144000,1,0,0,0,0
839,840,70.0,11767,0.0,768,432,1200,240,130500,0,0,0,0,1
841,842,60.0,10440,0.0,958,581,1539,686,157500,0,0,0,0,1
842,843,82.0,9020,183.0,1165,0,1165,490,174900,1,0,0,0,0
843,844,80.0,8000,0.0,1800,0,1800,0,141000,1,0,0,0,0
844,845,100.0,12665,0.0,876,540,1416,720,153900,0,0,0,0,1
846,847,75.0,9317,137.0,1006,769,1775,425,213000,1,0,0,0,0
847,848,36.0,15523,0.0,864,0,864,338,133500,1,0,0,0,0
849,850,80.0,9600,360.0,1094,761,1855,512,187000,1,0,0,0,0
850,851,36.0,4435,170.0,848,0,848,420,131500,1,0,0,0,0
852,853,53.0,7128,0.0,918,728,1646,240,164000,0,0,0,0,1
857,858,65.0,8125,0.0,702,779,1481,343,174000,1,0,0,0,0
858,859,80.0,10400,189.0,1370,0,1370,479,152000,1,0,0,0,0
860,861,55.0,7642,0.0,912,514,1426,216,189950,0,0,0,0,1
861,862,75.0,11625,0.0,1039,0,1039,504,131500,1,0,0,0,0
862,863,81.0,9672,0.0,1097,0,1097,480,152000,1,0,0,0,0
863,864,70.0,7931,0.0,1148,0,1148,672,132500,1,0,0,0,0
864,865,72.0,8640,0.0,1372,0,1372,529,250580,1,0,0,0,0
866,867,67.0,10656,274.0,1646,0,1646,870,248900,1,0,0,0,0
867,868,85.0,6970,0.0,1120,0,1120,544,129000,1,0,0,0,0
869,870,80.0,9938,246.0,1062,887,1949,574,236000,1,0,0,0,0
870,871,60.0,6600,0.0,894,0,894,308,109500,0,0,0,0,1
871,872,70.0,8750,116.0,804,878,1682,523,200500,1,0,0,0,0
872,873,74.0,8892,0.0,910,0,910,414,116000,1,0,0,0,0
873,874,60.0,12144,0.0,1036,0,1268,288,133000,1,0,0,0,0
874,875,52.0,5720,0.0,676,455,1131,200,66500,0,0,0,0,1
875,876,75.0,9000,0.0,1184,1426,2610,550,303477,0,0,1,0,0
877,878,74.0,8834,216.0,1462,762,2224,738,350000,1,0,0,0,0
878,879,88.0,11782,0.0,1155,0,1155,576,148000,0,0,0,0,1
880,881,60.0,7024,0.0,1090,0,1090,450,157000,1,0,0,0,0
881,882,44.0,13758,117.0,1187,530,1717,400,187500,1,0,0,0,0
883,884,60.0,6204,0.0,954,795,2230,440,118500,0,0,0,0,1
884,885,65.0,7150,60.0,892,0,892,288,100000,1,0,0,0,0
885,886,50.0,5119,60.0,1709,0,1709,506,328900,1,0,0,0,0
886,887,70.0,8393,122.0,1712,0,1712,588,145000,1,0,0,0,0
890,891,60.0,8064,0.0,672,252,924,576,122900,0,0,0,0,1
891,892,70.0,11184,92.0,918,765,1683,440,172500,1,0,0,0,0
892,893,70.0,8414,0.0,1068,0,1068,264,154500,1,0,0,0,0
894,895,64.0,7018,0.0,1535,0,1535,400,118858,1,0,0,0,0
896,897,50.0,8765,0.0,951,0,951,327,106500,0,0,0,0,1
897,898,64.0,7018,0.0,1120,1120,2240,528,142953,0,0,0,0,1
899,900,65.0,6993,0.0,1236,0,1236,288,135000,1,0,0,0,0
901,902,64.0,8712,0.0,1306,0,1306,756,153000,0,0,0,0,1
902,903,63.0,7875,0.0,807,702,1509,393,180000,1,0,0,0,0
903,904,50.0,14859,27.0,1670,0,1670,690,240000,1,0,0,0,0
905,906,80.0,9920,110.0,1063,0,1063,280,128000,1,0,0,0,0
907,908,86.0,11500,0.0,1020,1037,2057,180,250000,1,0,0,0,0
910,911,80.0,11600,361.0,1105,1169,2274,480,154300,0,0,0,0,1
912,913,51.0,6120,0.0,1015,0,1015,450,88000,0,0,0,0,1
913,914,82.0,6270,0.0,1001,1001,2002,871,145000,0,0,0,0,0
914,915,30.0,3000,76.0,612,612,1224,528,173733,0,0,0,0,1
916,917,50.0,9000,0.0,480,0,480,308,35311,0,0,0,0,1
918,919,103.0,13125,0.0,912,1215,2127,833,238000,1,0,0,0,0
919,920,87.0,11029,0.0,1414,0,1414,601,176500,1,0,0,0,0
920,921,70.0,8462,105.0,936,785,1721,471,201000,1,0,0,0,0
921,922,67.0,8777,0.0,1272,928,2200,0,145900,1,0,0,0,0
922,923,65.0,10237,0.0,1316,0,1316,397,169990,1,0,0,0,0
923,924,50.0,8012,0.0,1617,0,1617,533,193000,1,0,0,0,0
924,925,79.0,10240,157.0,1686,0,1686,612,207500,1,0,0,0,0
926,927,93.0,11999,340.0,1234,1140,2374,656,285000,0,0,1,0,0
930,931,73.0,8925,0.0,1466,0,1466,610,201000,1,0,0,0,0
931,932,70.0,9100,0.0,925,0,925,429,117500,0,0,0,0,1
932,933,84.0,11670,302.0,1905,0,1905,788,320000,1,0,0,0,0
933,934,63.0,8487,210.0,1500,0,1500,570,190000,1,0,0,0,0
935,936,52.0,5825,108.0,747,0,747,528,79900,0,0,0,0,1
937,938,75.0,9675,0.0,1113,858,1971,689,253000,1,0,0,0,0
938,939,73.0,8760,0.0,1391,571,1962,868,239799,1,0,0,0,0
940,941,55.0,12640,0.0,1728,0,1728,574,150900,1,0,0,0,0
942,943,42.0,7711,0.0,1440,0,1440,0,150000,1,0,0,0,0
945,946,98.0,8820,0.0,1188,561,1869,456,124900,0,0,0,0,1
946,947,70.0,8163,128.0,1144,0,1144,796,143000,1,0,0,0,0
947,948,85.0,14536,236.0,1629,0,1629,808,270000,1,0,0,0,0
948,949,65.0,14006,144.0,936,840,1776,474,192500,1,0,0,0,0
949,950,78.0,9360,0.0,1381,0,1381,676,197500,1,0,0,0,0
950,951,60.0,7200,0.0,864,0,864,720,129000,0,0,0,0,1
951,952,60.0,7800,0.0,965,0,965,300,119900,0,0,0,0,1
952,953,60.0,7200,0.0,768,0,768,396,133900,0,0,0,0,1
954,955,35.0,9400,250.0,980,0,980,0,127500,1,0,0,0,0
957,958,70.0,7420,0.0,1057,0,1057,576,132000,0,0,0,0,1
958,959,65.0,8450,0.0,1337,0,1337,531,185000,1,0,0,0,0
960,961,50.0,7207,0.0,858,0,858,0,116500,1,0,0,0,0
964,965,80.0,11316,44.0,824,1070,1894,510,214900,0,0,1,0,0
965,966,65.0,10237,0.0,783,701,1484,393,178900,1,0,0,0,0
968,969,50.0,5925,0.0,600,368,968,0,37900,1,0,0,0,0
969,970,75.0,10382,105.0,1095,0,1095,264,140000,1,0,0,0,0
970,971,60.0,10800,0.0,720,472,1192,0,135000,1,0,0,0,0
972,973,55.0,7892,0.0,918,0,918,264,99500,1,0,0,0,0
974,975,60.0,11414,0.0,1136,883,2019,532,167500,0,0,0,0,1
976,977,51.0,5900,0.0,869,0,869,0,85500,1,0,0,0,0
