,Id,LotFrontage,LotArea,MasVnrArea,1stFlrSF,2ndFlrSF,GrLivArea,GarageArea,SalePrice,GarageType_1,GarageType_2,GarageType_3,GarageType_4,GarageType_5
978,979,68.0,9450,0.0,894,0,894,400,110000,0,0,0,0,1
979,980,80.0,8816,0.0,1121,0,1121,480,139000,0,0,0,0,1
982,983,43.0,3182,16.0,1266,0,1266,388,159895,1,0,0,0,0
984,985,75.0,10125,0.0,1302,432,1734,539,126000,1,0,0,0,0
985,986,68.0,10880,0.0,1164,0,1164,240,125000,0,0,0,0,1
986,987,59.0,5310,0.0,1001,634,1635,255,117000,1,0,0,0,0
989,990,65.0,8125,0.0,778,798,1576,614,197000,1,0,0,0,0
992,993,80.0,9760,340.0,1020,831,1851,440,187000,1,0,0,0,0
993,994,68.0,8846,0.0,750,750,1500,564,173900,1,0,0,0,0
994,995,96.0,12456,230.0,1718,0,1718,786,337500,1,0,0,0,0
995,996,51.0,4712,0.0,774,456,1230,305,121600,0,0,0,0,1
998,999,60.0,9786,0.0,1077,0,1077,210,91000,0,0,0,0,1
999,1000,64.0,6762,24.0,1208,0,1208,632,206000,1,0,0,0,0
1000,1001,74.0,10206,0.0,944,0,944,528,82000,0,0,0,0,1
1001,1002,60.0,5400,0.0,691,0,691,216,86000,0,0,0,0,1
1002,1003,75.0,11957,53.0,1574,0,1574,824,232000,1,0,0,0,0
1004,1005,43.0,3182,16.0,1504,0,1504,457,181000,1,0,0,0,0
1005,1006,65.0,8385,220.0,985,0,985,328,149900,1,0,0,0,0
1008,1009,43.0,12118,108.0,1710,0,1710,550,240000,1,0,0,0,0
1009,1010,60.0,6000,0.0,1008,0,1522,0,102000,1,0,0,0,0
1011,1012,75.0,9825,0.0,1664,0,1664,0,100000,1,0,0,0,0
1012,1013,55.0,10592,0.0,900,602,1502,180,165000,0,0,0,0,1
1013,1014,60.0,7200,0.0,1022,0,1022,280,85000,0,0,0,0,1
1014,1015,60.0,11664,206.0,1082,0,1082,240,119200,0,0,0,0,1
1015,1016,70.0,8400,0.0,810,855,1665,528,227000,1,0,0,0,0
1016,1017,73.0,11883,196.0,1504,0,1504,478,203000,1,0,0,0,0
1019,1020,43.0,3013,145.0,1506,0,1506,440,213490,1,0,0,0,0
1020,1021,60.0,7024,0.0,1132,0,1132,451,176000,1,0,0,0,0
1021,1022,64.0,7406,84.0,1220,0,1220,632,194000,1,0,0,0,0
1022,1023,52.0,9439,0.0,912,336,1248,160,87000,0,0,0,0,1
1023,1024,43.0,3182,14.0,1504,0,1504,437,191000,1,0,0,0,0
1025,1026,70.0,7700,0.0,882,0,882,461,112500,0,0,0,0,1
1026,1027,73.0,9300,324.0,1264,0,1264,461,167500,1,0,0,0,0
1027,1028,71.0,9520,338.0,1646,0,1646,800,293077,1,0,0,0,0
1028,1029,79.0,9492,0.0,968,408,1376,240,105000,1,0,0,0,0
1034,1035,50.0,6305,0.0,954,0,954,240,119750,0,1,0,0,0
1036,1037,89.0,12898,70.0,1620,0,1620,912,315500,1,0,0,0,0
1040,1041,88.0,13125,67.0,1803,0,1803,484,155000,1,0,0,0,0
1042,1043,34.0,5381,135.0,1306,0,1306,624,196000,1,0,0,0,0
1043,1044,86.0,11839,99.0,1532,797,2329,514,262280,1,0,0,0,0
1047,1048,57.0,9245,0.0,990,0,990,672,145000,0,0,0,0,1
1049,1050,60.0,11100,0.0,930,0,930,308,84900,0,0,0,0,1
1050,1051,73.0,8993,0.0,1302,0,1302,436,176485,1,0,0,0,0
1051,1052,103.0,11175,0.0,1316,0,1316,440,200141,1,0,0,0,0
1052,1053,100.0,9500,272.0,1127,850,1977,540,165000,1,0,0,0,0
1053,1054,68.0,8562,145.0,1526,0,1526,364,144500,0,1,0,0,0
1054,1055,90.0,11367,210.0,1091,898,1989,586,255000,1,0,0,0,0
1055,1056,104.0,11361,160.0,1523,0,1523,478,180000,1,0,0,0,0
1056,1057,43.0,7052,240.0,1364,0,1364,484,185850,1,0,0,0,0
1058,1059,96.0,11308,154.0,1130,1054,2184,836,335000,1,0,0,0,0
1060,1061,41.0,4920,0.0,1338,0,1338,582,213500,1,0,0,0,0
1062,1063,85.0,13600,0.0,1422,915,2337,560,90000,0,0,0,0,1
1063,1064,50.0,6000,0.0,1103,0,1103,440,110500,0,0,0,0,1
1065,1066,80.0,14000,0.0,1306,954,2260,533,328000,1,0,0,0,0
1066,1067,59.0,7837,0.0,799,772,1571,380,178000,1,0,0,0,0
1067,1068,80.0,9760,360.0,798,813,1611,442,167900,1,0,0,0,0
1068,1069,42.0,3964,0.0,1291,1230,2521,576,151400,1,0,0,0,0
1069,1070,60.0,9600,0.0,893,0,893,576,135000,0,0,0,0,1
1070,1071,72.0,10152,120.0,1048,0,1048,286,135000,1,0,0,0,0
1071,1072,78.0,11700,0.0,829,727,1556,441,154000,1,0,0,0,0
1072,1073,50.0,7585,0.0,1002,454,1456,280,91500,0,0,0,0,1
1073,1074,75.0,7950,140.0,698,728,1426,440,159500,1,0,0,0,0
1074,1075,74.0,8556,0.0,1240,0,1240,826,194000,1,0,0,0,0
1075,1076,75.0,13125,0.0,960,780,1740,240,219500,1,0,0,0,0
1076,1077,60.0,10800,0.0,1096,370,1466,566,170000,1,0,0,0,0
1078,1079,37.0,4435,169.0,848,0,848,420,155900,1,0,0,0,0
1079,1080,65.0,8775,0.0,990,0,990,299,126000,1,0,0,0,0
1080,1081,80.0,11040,144.0,1258,0,1258,528,145000,1,0,0,0,0
1081,1082,75.0,7500,0.0,1040,0,1040,308,133000,1,0,0,0,0
1082,1083,70.0,8749,100.0,1459,0,1459,527,192000,1,0,0,0,0
1085,1086,73.0,9069,0.0,996,0,996,564,147000,1,0,0,0,0
1089,1090,37.0,3316,0.0,1247,0,1247,550,197000,1,0,0,0,0
1090,1091,60.0,8544,0.0,1040,0,1040,400,92900,0,0,0,0,1
1092,1093,60.0,8400,0.0,1390,304,1694,576,136500,0,0,0,0,1
1093,1094,71.0,9230,166.0,1200,0,1200,884,146000,0,0,0,0,1
1094,1095,74.0,5868,0.0,936,0,936,308,129000,1,0,0,0,0
1095,1096,78.0,9317,0.0,1314,0,1314,440,176432,1,0,0,0,0
1096,1097,60.0,6882,0.0,773,582,1355,0,127000,1,0,0,0,0
1098,1099,50.0,6000,0.0,757,567,1324,240,128000,0,0,0,0,1
1099,1100,82.0,11880,206.0,1601,0,1601,478,157000,1,0,0,0,0
1100,1101,60.0,8400,0.0,438,0,438,246,60000,0,0,0,0,1
1101,1102,61.0,9758,0.0,950,0,950,280,119500,0,0,0,0,1
1102,1103,70.0,7000,45.0,1134,0,1134,254,135000,1,0,0,0,0
1103,1104,79.0,8910,0.0,1194,0,1194,539,159500,0,0,1,0,0
1109,1110,107.0,11362,42.0,1836,0,1836,862,280000,1,0,0,0,0
1112,1113,73.0,7100,0.0,816,0,816,308,129900,0,0,0,0,1
1113,1114,66.0,8923,0.0,1008,0,1008,240,134500,1,0,0,0,0
1114,1115,90.0,5400,0.0,833,0,833,326,117000,0,0,0,0,1
1115,1116,93.0,12085,328.0,1734,0,1734,928,318000,1,0,0,0,0
1117,1118,57.0,9764,0.0,894,0,894,450,130000,1,0,0,0,0
1118,1119,85.0,13825,0.0,1021,580,1601,300,140000,0,0,1,0,0
1119,1120,70.0,7560,0.0,1040,0,1040,286,133700,1,0,0,0,0
1120,1121,59.0,8263,0.0,1012,0,1012,308,118400,0,0,0,0,1
1121,1122,84.0,10084,196.0,1552,0,1552,782,212900,1,0,0,0,0
1123,1124,50.0,9405,0.0,698,0,698,0,118000,1,0,0,0,0
1125,1126,60.0,10434,0.0,1005,0,1005,672,115000,0,0,0,0,1
1126,1127,53.0,3684,130.0,1555,0,1555,660,174000,1,0,0,0,0
1128,1129,59.0,11796,0.0,847,1112,1959,434,215000,0,0,1,0,0
1129,1130,60.0,7200,180.0,936,0,936,672,140000,0,0,0,0,1
1130,1131,65.0,7804,0.0,1328,653,1981,576,135000,0,0,0,0,1
1131,1132,63.0,10712,0.0,974,0,974,0,93500,1,0,0,0,0
1132,1133,90.0,9900,0.0,1178,1032,2210,205,117500,0,0,0,0,1
1133,1134,80.0,9828,0.0,1142,878,2020,466,239500,1,0,0,0,0
1134,1135,57.0,8773,0.0,916,684,1600,460,169000,1,0,0,0,0
1135,1136,60.0,6180,0.0,986,0,986,180,102000,0,0,0,0,1
1136,1137,80.0,9600,0.0,1032,220,1252,288,119000,1,0,0,0,0
1137,1138,54.0,6342,0.0,780,240,1020,0,94000,1,0,0,0,0
1139,1140,98.0,8731,0.0,1167,0,1167,495,144000,0,0,0,0,1
1140,1141,60.0,7350,0.0,952,0,952,840,139000,0,0,0,0,1
1144,1145,60.0,12180,0.0,672,252,924,280,80000,0,0,0,0,1
1145,1146,52.0,6240,0.0,1042,534,1576,225,149000,0,0,0,0,1
1147,1148,75.0,12000,0.0,860,704,1564,234,174500,1,0,0,0,0
1149,1150,50.0,9000,0.0,832,650,1482,324,143000,0,0,0,0,1
1150,1151,57.0,8280,0.0,932,0,932,306,124000,1,0,0,0,0
1152,1153,90.0,14115,0.0,1811,0,1811,470,230000,1,0,0,0,0
1155,1156,90.0,10768,0.0,1437,0,1437,528,218000,1,0,0,0,0
1156,1157,85.0,9350,0.0,1265,0,1265,502,179900,1,0,0,0,0
1157,1158,34.0,5001,166.0,1314,0,1314,626,230000,1,0,0,0,0
1158,1159,92.0,11932,186.0,1580,0,1580,830,235128,1,0,0,0,0
1159,1160,76.0,9120,270.0,943,933,1876,540,185000,1,0,0,0,0
1162,1163,109.0,8724,0.0,894,0,894,450,129000,1,0,0,0,0
1163,1164,60.0,12900,0.0,1258,0,1258,400,108959,0,0,0,1,0
1165,1166,79.0,9541,268.0,1502,0,1502,644,233170,1,0,0,0,0
1166,1167,64.0,10475,72.0,1694,0,1694,776,245350,1,0,0,0,0
1167,1168,58.0,10852,0.0,959,712,1671,472,173000,1,0,0,0,0
1170,1171,76.0,9880,0.0,1118,0,1118,358,171000,1,0,0,0,0
1171,1172,76.0,9120,0.0,1261,0,1261,433,163000,1,0,0,0,0
1172,1173,35.0,4017,0.0,625,625,1250,625,171900,0,0,0,0,1
1176,1177,37.0,6951,0.0,923,0,923,264,119500,1,0,0,0,0
1178,1179,54.0,7681,0.0,820,523,1343,186,154900,0,0,0,0,1
1179,1180,77.0,8335,0.0,1124,0,1124,0,93000,1,0,0,0,0
1181,1182,64.0,5587,186.0,1652,0,1652,482,392500,1,0,0,0,0
1183,1184,60.0,10800,0.0,1130,0,1130,720,120000,0,0,0,0,1
1185,1186,60.0,9738,0.0,949,272,1221,392,104900,1,0,0,0,0
1186,1187,107.0,10615,0.0,1014,685,1699,420,95000,0,0,0,1,0
1187,1188,89.0,12461,0.0,1624,0,1624,757,262000,1,0,0,0,0
1188,1189,68.0,8935,95.0,831,829,1660,493,195000,1,0,0,0,0
1189,1190,60.0,7500,0.0,1028,776,1804,442,189000,1,0,0,0,0
1192,1193,60.0,9600,0.0,842,630,1472,250,125000,0,0,0,0,1
1194,1195,80.0,9364,143.0,663,689,1352,299,158000,1,0,0,0,0
1195,1196,51.0,8029,0.0,728,728,1456,400,176000,1,0,0,0,0
1196,1197,58.0,14054,0.0,879,984,1863,660,219210,0,0,1,0,0
1197,1198,65.0,8850,0.0,815,875,1690,225,144000,0,0,0,0,1
1198,1199,70.0,9100,0.0,1212,0,1212,573,178000,1,0,0,0,0
1199,1200,75.0,11235,51.0,1382,0,1382,459,148000,1,0,0,0,0
1200,1201,71.0,9353,0.0,864,0,864,280,116050,1,0,0,0,0
1201,1202,80.0,10400,0.0,866,913,1779,546,197900,1,0,0,0,0
1202,1203,50.0,6000,0.0,884,464,1348,216,117000,0,0,0,0,1
1203,1204,75.0,9750,171.0,1630,0,1630,451,213000,1,0,0,0,0
1204,1205,78.0,10140,0.0,1074,0,1074,495,153500,1,0,0,0,0
1207,1208,70.0,9135,120.0,1700,0,1700,544,200000,1,0,0,0,0
1208,1209,70.0,7763,0.0,1283,0,1283,506,140000,0,0,0,0,1
1210,1211,70.0,11218,0.0,1055,790,1845,462,189000,1,0,0,0,0
1212,1213,50.0,9340,0.0,672,0,672,234,113000,1,0,0,0,0
1214,1215,69.0,10205,0.0,999,0,999,300,134500,1,0,0,0,0
1215,1216,99.0,7094,0.0,894,0,894,384,125000,0,0,0,0,1
1216,1217,68.0,8930,0.0,1318,584,1902,539,112000,1,0,0,0,0
1217,1218,72.0,8640,72.0,1314,0,1314,552,229456,1,0,0,0,0
1218,1219,52.0,6240,0.0,672,240,912,0,80500,1,0,0,0,0
1220,1221,66.0,7800,0.0,912,0,912,288,115000,1,0,0,0,0
1221,1222,55.0,8250,0.0,1211,0,1211,322,134000,1,0,0,0,0
1222,1223,78.0,10496,320.0,1168,678,1846,315,143000,1,0,0,0,0
1224,1225,60.0,15384,0.0,788,702,1490,388,184000,1,0,0,0,0
1225,1226,65.0,10482,63.0,1138,0,1138,264,145000,1,0,0,0,0
1226,1227,86.0,14598,74.0,894,1039,1933,668,214000,0,0,1,0,0
1227,1228,72.0,8872,300.0,912,0,912,576,147000,0,0,0,0,1
1229,1230,70.0,7910,0.0,1507,0,1507,404,127000,0,1,0,0,0
1231,1232,70.0,7728,120.0,1190,0,1190,540,132500,1,0,0,0,0
1232,1233,70.0,9842,0.0,1224,0,1224,462,101800,0,0,0,1,0
1234,1235,55.0,8525,0.0,1024,940,1964,0,130000,1,0,0,0,0
1235,1236,96.0,13132,0.0,892,892,1784,180,138887,0,0,0,0,1
1236,1237,36.0,2628,106.0,764,862,1626,474,175500,0,0,1,0,0
1237,1238,41.0,12393,0.0,847,1101,1948,434,195000,0,0,1,0,0
1238,1239,63.0,13072,0.0,1141,0,1141,484,142500,0,0,0,0,1
1239,1240,64.0,9037,32.0,1484,0,1484,472,265900,1,0,0,0,0
1240,1241,65.0,8158,252.0,884,884,1768,543,224900,1,0,0,0,0
1241,1242,83.0,9849,0.0,1689,0,1689,954,248328,1,0,0,0,0
1242,1243,85.0,10625,81.0,1173,0,1173,528,170000,1,0,0,0,0
1245,1246,78.0,12090,74.0,1140,728,1868,477,178000,0,0,1,0,0
1246,1247,65.0,8125,0.0,756,797,1553,615,186500,1,0,0,0,0
1248,1249,60.0,9600,0.0,1134,924,2058,396,129500,0,0,0,0,1
1249,1250,60.0,7200,0.0,988,0,988,276,119000,1,0,0,0,0
1252,1253,62.0,9858,0.0,874,0,874,288,130000,1,0,0,0,0
1254,1255,60.0,6931,92.0,760,896,1656,397,165400,0,0,1,0,0
1255,1256,52.0,6240,0.0,959,408,1367,560,127500,0,0,0,0,1
1257,1258,56.0,4060,0.0,864,0,864,0,99900,1,0,0,0,0
1258,1259,59.0,9587,182.0,1166,0,1166,400,190000,1,0,0,0,0
1259,1260,65.0,9750,0.0,1054,0,1054,460,151000,1,0,0,0,0
1261,1262,80.0,9600,0.0,1050,0,1050,338,128900,1,0,0,0,0
1263,1264,60.0,13515,0.0,1060,764,1824,520,180500,0,0,0,0,1
1264,1265,34.0,4060,0.0,1337,0,1337,511,181000,1,0,0,0,0
1265,1266,35.0,3735,218.0,713,739,1452,506,183900,0,0,0,0,1
1266,1267,60.0,10120,0.0,964,925,1889,308,122000,0,0,0,0,1
1267,1268,89.0,13214,0.0,2018,0,2018,746,378500,1,0,0,0,0
1269,1270,78.0,11344,180.0,874,650,1524,315,144000,1,0,0,0,0
1274,1275,53.0,5362,0.0,661,589,1250,552,139000,0,0,0,0,1
1279,1280,60.0,7500,0.0,698,430,1128,528,68400,0,0,0,0,1
1280,1281,67.0,9808,110.0,1573,0,1573,544,227000,1,0,0,0,0
1281,1282,50.0,8049,54.0,1339,0,1339,484,180000,1,0,0,0,0
1282,1283,61.0,8800,0.0,1040,0,1040,484,150500,0,0,0,0,1
1283,1284,94.0,9400,0.0,912,912,1824,0,139000,1,0,0,0,0
1284,1285,50.0,9638,0.0,1699,748,2447,336,169000,0,0,0,0,1
1285,1286,50.0,6000,0.0,825,587,1412,280,132500,0,0,0,0,1
1288,1289,40.0,5664,0.0,1659,0,1659,499,278000,1,0,0,0,0
1292,1293,60.0,6600,0.0,1378,994,2372,432,107500,1,0,0,0,0
1293,1294,78.0,10140,0.0,832,832,1664,528,162900,1,0,0,0,0
1294,1295,60.0,8172,0.0,864,0,864,572,115000,0,0,0,0,1
1295,1296,70.0,8400,168.0,1052,0,1052,288,138500,1,0,0,0,0
1296,1297,80.0,8700,148.0,1128,0,1128,525,155000,1,0,0,0,0
1297,1298,35.0,3675,82.0,1072,0,1072,525,140000,0,1,0,0,0
1299,1300,75.0,7500,0.0,1246,0,1246,305,154000,1,0,0,0,0
1303,1304,73.0,8688,228.0,1616,0,1616,834,232000,1,0,0,0,0
1304,1305,32.0,3363,117.0,976,732,1708,380,130000,0,0,0,0,1
1305,1306,108.0,13173,300.0,1652,0,1652,840,325000,1,0,0,0,0
1306,1307,48.0,6955,94.0,1368,0,1368,474,202500,1,0,0,0,0
1307,1308,60.0,8072,0.0,990,0,990,480,138000,0,0,0,0,1
1308,1309,100.0,12000,0.0,1122,0,1122,528,147000,1,0,0,0,0
1311,1312,68.0,8814,80.0,1274,0,1274,508,203000,1,0,0,0,0
1313,1314,108.0,14774,165.0,1422,1177,2599,779,333168,0,0,1,0,0
1314,1315,60.0,8190,0.0,948,0,948,280,119000,0,0,0,0,1
1315,1316,85.0,11075,0.0,1092,1020,2112,576,206900,1,0,0,0,0
1316,1317,61.0,10226,270.0,1630,0,1630,860,295493,1,0,0,0,0
1317,1318,47.0,4230,0.0,1352,0,1352,466,208900,1,0,0,0,0
1319,1320,75.0,10215,132.0,948,0,948,248,111000,1,0,0,0,0
1320,1321,70.0,8400,0.0,1478,0,1478,442,156500,1,0,0,0,0
1322,1323,107.0,10186,0.0,1061,862,1923,564,190000,1,0,0,0,0
1323,1324,50.0,5330,0.0,708,0,708,0,82500,1,0,0,0,0
1325,1326,40.0,3636,0.0,796,0,796,0,55000,1,0,0,0,0
1326,1327,70.0,4270,0.0,774,0,774,0,79000,1,0,0,0,0
1327,1328,60.0,6600,0.0,816,0,816,264,130500,1,0,0,0,0
1329,1330,63.0,9084,0.0,955,677,1632,462,176500,1,0,0,0,0
1331,1332,55.0,10780,0.0,954,0,954,576,132500,0,0,0,0,1
1332,1333,67.0,8877,0.0,816,0,816,288,100000,0,0,0,0,1
1333,1334,60.0,7200,0.0,803,557,1360,297,125500,0,0,0,0,1
1335,1336,80.0,9650,360.0,1334,0,1334,630,167900,1,0,0,0,0
1338,1339,95.0,13450,0.0,920,941,1861,492,200000,0,0,1,0,0
1340,1341,70.0,8294,0.0,872,0,872,480,123000,0,0,0,0,1
1341,1342,66.0,13695,0.0,1114,0,1114,576,155000,0,0,0,0,1
1343,1344,57.0,7558,0.0,1172,741,1913,342,177000,0,0,0,0,1
1344,1345,85.0,11103,0.0,728,728,1456,440,155835,1,0,0,0,0
1345,1346,50.0,6000,0.0,960,0,960,308,108500,0,0,0,0,1
1347,1348,93.0,15306,100.0,1776,0,1776,712,283463,1,0,0,0,0
1349,1350,50.0,5250,0.0,938,1215,2358,0,122000,1,0,0,0,0
1351,1352,70.0,9247,318.0,858,858,1716,490,171000,1,0,0,0,0
1352,1353,50.0,6000,0.0,786,390,1176,624,134900,0,0,0,0,1
1355,1356,102.0,10192,143.0,1222,698,1920,487,170000,1,0,0,0,0
1360,1361,51.0,9842,0.0,990,1611,2601,621,189000,0,0,1,0,0
1363,1364,73.0,8499,0.0,616,796,1412,432,156932,0,0,1,0,0
1364,1365,30.0,3180,0.0,520,600,1200,480,144152,0,0,0,0,1
1366,1367,68.0,9179,158.0,882,908,1790,588,193000,1,0,0,0,0
1367,1368,41.0,2665,0.0,925,550,1475,336,127000,1,0,0,0,0
1369,1370,48.0,10635,171.0,1668,0,1668,502,232000,1,0,0,0,0
1370,1371,90.0,5400,0.0,840,534,1374,338,105000,0,0,0,0,1
1371,1372,80.0,9600,0.0,1661,0,1661,377,165500,0,0,1,0,0
1372,1373,75.0,9750,0.0,1108,989,2097,583,274300,0,0,0,0,1
1374,1375,85.0,10625,0.0,1026,932,1958,936,250000,1,0,0,0,0
1375,1376,89.0,10991,80.0,1571,0,1571,722,239000,1,0,0,0,0
1376,1377,52.0,6292,0.0,790,0,790,160,91000,0,0,0,0,1
1377,1378,60.0,10998,0.0,984,620,1604,660,117000,0,0,0,0,1
1379,1380,73.0,9735,0.0,754,640,1394,400,167500,0,0,1,0,0
1380,1381,45.0,8212,0.0,864,0,864,200,58500,0,0,0,0,1
1382,1383,60.0,7200,0.0,998,764,1762,576,157000,0,0,0,0,1
1384,1385,60.0,9060,0.0,698,560,1258,280,105000,0,0,0,0,1
1385,1386,40.0,5436,0.0,796,358,1154,240,125500,0,0,0,0,1
1387,1388,60.0,8520,0.0,1664,862,2526,216,136000,0,0,0,0,1
1388,1389,42.0,14892,160.0,1746,0,1746,758,377500,1,0,0,0,0
1389,1390,60.0,6000,0.0,869,349,1218,440,131000,0,0,0,0,1
1390,1391,70.0,9100,244.0,1525,0,1525,541,235000,1,0,0,0,0
1391,1392,65.0,8944,0.0,1584,0,1584,792,124000,0,0,0,0,1
1392,1393,68.0,7838,0.0,900,0,900,288,123000,1,0,0,0,0
1393,1394,60.0,10800,0.0,1221,691,1912,672,163000,0,0,0,0,1
1394,1395,53.0,4045,45.0,1500,0,1500,648,246578,1,0,0,0,0
1395,1396,88.0,12665,245.0,1133,1349,2482,642,281213,0,0,1,0,0
1397,1398,51.0,6120,0.0,939,574,1513,180,137500,0,0,0,0,1
1398,1399,60.0,7200,0.0,1136,768,1904,240,138000,1,0,0,0,0
1399,1400,51.0,6171,0.0,1160,448,1608,216,137450,0,0,0,0,1
1400,1401,50.0,6000,0.0,950,208,1158,208,120000,0,0,1,0,0
1401,1402,62.0,7415,0.0,864,729,1593,398,193000,1,0,0,0,0
1402,1403,64.0,6762,0.0,1294,0,1294,662,193879,1,0,0,0,0
1403,1404,49.0,15256,84.0,1464,0,1464,754,282922,1,0,0,0,0
1404,1405,60.0,10410,0.0,694,520,1214,936,105000,0,0,0,0,1
1405,1406,44.0,3842,174.0,1646,0,1646,482,275000,1,0,0,0,0
1406,1407,70.0,8445,0.0,768,0,768,396,133000,0,0,0,0,1
1408,1409,60.0,7740,0.0,741,622,1363,528,125500,0,0,0,0,1
1410,1411,79.0,12420,0.0,944,896,1840,622,230000,1,0,0,0,0
1411,1412,80.0,9600,0.0,1112,556,1668,271,140000,1,0,0,0,0
1412,1413,60.0,7200,0.0,1040,0,1040,420,90000,0,0,0,0,1
1413,1414,88.0,10994,366.0,1844,0,1844,620,257000,1,0,0,0,0
1414,1415,64.0,13053,0.0,1053,795,1848,370,207000,0,0,0,0,1
1415,1416,51.0,3635,130.0,1569,0,1569,660,175900,1,0,0,0,0
1416,1417,60.0,11340,0.0,1246,1044,2290,560,122500,0,0,0,0,1
1418,1419,71.0,9204,0.0,1144,0,1144,336,124000,0,0,0,0,1
1421,1422,53.0,4043,0.0,1069,0,1069,440,127500,1,0,0,0,0
1422,1423,37.0,4435,170.0,848,0,848,420,136500,1,0,0,0,0
1425,1426,80.0,10721,243.0,1252,0,1252,528,142000,0,0,0,0,1
1427,1428,60.0,10930,0.0,1048,510,1558,288,140000,1,0,0,0,0
1428,1429,60.0,7200,294.0,804,0,804,240,119000,1,0,0,0,0
1432,1433,60.0,10800,0.0,968,0,968,216,64500,0,0,0,0,1
1433,1434,93.0,10261,318.0,962,830,1792,451,186500,1,0,0,0,0
1435,1436,80.0,8400,237.0,1537,0,1537,462,174000,1,0,0,0,0
1436,1437,60.0,9000,0.0,864,0,864,528,120500,0,0,0,0,1
1438,1439,90.0,7407,0.0,1236,0,1236,923,149700,1,0,0,0,0
1439,1440,80.0,11584,96.0,1040,685,1725,550,197000,1,0,0,0,0
1440,1441,79.0,11526,0.0,1423,748,2555,672,191000,0,0,0,0,1
1442,1443,85.0,11003,160.0,1026,981,2007,812,310000,1,0,0,0,0
1444,1445,63.0,8500,106.0,1422,0,1422,626,179600,1,0,0,0,0
1445,1446,70.0,8400,0.0,913,0,913,240,129000,0,0,0,0,1
1448,1449,70.0,11767,0.0,796,550,1346,384,112000,0,0,0,0,1
1450,1451,60.0,9000,0.0,896,896,1792,0,136000,1,0,0,0,0
1451,1452,78.0,9262,194.0,1578,0,1578,840,287090,1,0,0,0,0
1452,1453,35.0,3675,80.0,1072,0,1072,525,145000,0,1,0,0,0
1454,1455,62.0,7500,0.0,1221,0,1221,400,185000,1,0,0,0,0
1455,1456,62.0,7917,0.0,953,694,1647,460,175000,1,0,0,0,0
1457,1458,66.0,9042,0.0,1188,1152,2340,252,266500,1,0,0,0,0
1458,1459,68.0,9717,0.0,1078,0,1078,240,142125,1,0,0,0,0
1459,1460,75.0,9937,0.0,1256,0,1256,276,147500,1,0,0,0,0
